Source,Teff,Lum-Flame,SpType,Pstar,PWD,GMAG
1306361548360576,0.890052182946151,0.7432356886619625,O      ,4.993e-05,0.9999484,0.3894
23700286669971584,0.8515026914337873,0.7411820294598458,O      ,4.993e-05,0.999948,0.3548
27109837867995776,0.9859392383316108,0.7985014536777976,O      ,4.993e-05,0.9999496,0.0162
36876009385300352,0.9081703696375256,0.7476932056188513,O      ,4.993e-05,0.9999496,0.3626
63139734399542528,0.77370605699837,0.320838281746901,O      ,4.993e-05,0.9999496,0.5446
90329037750913792,0.9191996117790477,0.12359612611946828,O      ,4.993e-05,0.9999496,0.2623
91271014273084800,0.8211913013202461,0.05928450748856398,O      ,4.993e-05,0.9999496,0.7018
102803104542235008,0.8773232850284745,0.7507435111943759,O      ,4.993e-05,0.99994946,0.2799
135273057300815360,0.8453575442670345,0.34535066614569276,O      ,4.993e-05,0.9999496,0.5679
135330816020881536,0.8834592760406981,0.3866457273361009,O      ,4.993e-05,0.9999496,0.0766
163565999746075264,0.9622148690241821,0.5397638358694241,O      ,5.145e-05,0.99832255,0.0027
231676037804846464,0.8704497479322548,0.5247483151001969,O      ,4.993e-05,0.9999496,0.3081
266149983644344832,0.7273687804144859,0.6286409921944378,O      ,4.993e-05,0.99994946,1.1204
297548599758591104,0.7567486804435479,0.6508384851218678,O      ,4.993e-05,0.99994826,0.9801
303269156894352640,0.7520007981312884,0.6476315220034485,O      ,4.972e-05,0.99576324,0.9986
303388247747330432,0.9996554550941752,0.848370233595479,O      ,4.993e-05,0.9999496,-0.5649
307987333088112640,0.9984749651709395,0.9578809210433911,O      ,4.993e-05,0.9999496,-1.7517
311678634140805248,0.9411003604908841,0.7684163146969705,O      ,4.993e-05,0.9999492,0.2244
313700498585403776,0.9989509068398139,0.8261534281080273,O      ,4.993e-05,0.9999496,-0.1901
324100121943178240,0.7470103966351014,0.6460969079965558,O      ,4.993e-05,0.9999493,1.0088
327657080713628288,0.815896963058127,0.7160326899035743,O      ,4.993e-05,0.9999496,0.5033
346721341030064640,0.9353343613594105,0.4327809183732862,O      ,4.993e-05,0.9999496,0.0609
380123129891300608,0.7267300494527473,0.6302627843353366,O      ,4.993e-05,0.9999489,1.1188
381370731998505472,0.7344021340261253,0.6780043248890361,O      ,4.993e-05,0.9999493,0.7083
387440895170344832,0.839245454385465,0.7322032191837009,O      ,4.993e-05,0.9999496,0.4176
407322745461965056,0.8615631054061266,0.4071872404044187,O      ,4.993e-05,0.9999496,0.5268
444670818999531136,0.7101054456050697,0.7928857808559638,O      ,1.0,0.0,-0.5343
506649636627894784,0.8841471767413698,0.5863180991575404,O      ,5.144e-05,0.99831045,0.1903
538388620303387904,0.7181819468220059,0.6273680659778461,O      ,4.993e-05,0.9999496,1.1262
556237267432287360,0.7568598028644256,0.6631957609714174,O      ,4.993e-05,0.99994946,0.9123
564551735705888384,0.7319074683779718,0.6365248240344188,O      ,4.993e-05,0.9999496,1.0683
